titre,organisme,pays,deadline,niveau,montant,statut,url,commentaire
  Appel à candidatures Éducation numérique ,Institut Pasteur, TUNISIE ,14/01/2027,Master,500 USD,à faire,https://exemple-formation.test/opportunite/3499,
  Appel à candidatures Intelligence artificielle ,Institut Pasteur,benin,01/08/2026,Master,"3000,00 $",en cours,https://exemple-formation.test/opportunite/5569,
Subvention Fintech,Banque Islamique de Développement,Côte d'Ivoire,2026-12-20,Licence,non précisé,envoyee,https://exemple-formation.test/opportunite/9940,
Fellowship Entrepreneuriat social,Campus France, Allemagne,29/07/2026,Master,€8000,archivée,https://exemple-formation.test/opportunite/5696,
Fellowship Biotechnologies,Campus France, Allemagne,10/09/2026,Doctorat,25000 USD,archivée,https://exemple-formation.test/opportunite/4849,
Concours Fintech,  Orange Digital Center ,cote d'ivoire,30-10-2026,Master,3 000 USD,archivee,https://exemple-formation.test/opportunite/4819,
Programme Entrepreneuriat social,Union Africaine, TUNISIE ,22-07-2026,Doctorat,12000 $,EN COURS,https://exemple-formation.test/opportunite/8035,
Formation Fintech,Mozilla Foundation,CANADA ,20/01/2027,Master,€25000,envoyée,https://exemple-formation.test/opportunite/4733,
Résidence Data science,BANQUE ISLAMIQUE DE DÉVELOPPEMENT, France,12/09/2026,Doctorat,3 000 $,en_cours,https://exemple-formation.test/opportunite/7272,
Résidence Santé publique,Erasmus Mundus,Tunisie,13-08-2026,Tous niveaux,€8000,archivee,https://exemple-formation.test/opportunite/2967,
Résidence Robotique,GIZ,france,,Post-doc,€3000,archivée,https://exemple-formation.test/opportunite/6776,
,UNESCO,Allemagne,08/09/2026,Doctorat,1 200 EUR,envoyee,https://exemple-formation.test/opportunite/1749,
Subvention Génie logiciel,UNESCO, Cameroun ,18/09/2026,Master,3 000 USD,archivee,https://exemple-formation.test/opportunite/3798,
Bourse Biotechnologies,Campus France,benin,à confirmer,Master,5 000 EUR,ENVOYEE,https://exemple-formation.test/opportunite/1714,
Formation Data science,Université Paris Cité,canada,2026-09-29,Tous niveaux,12 000 USD,envoyée,https://exemple-formation.test/opportunite/9092,
Stage Climat,OCP Group, Allemagne,02-10-2026,Tous niveaux,EUR8000,en_cours,https://exemple-formation.test/opportunite/3209,
Résidence Génie logiciel,African Development Bank,canada,2027-01-04,Tous niveaux,5000 EUR,A_FAIRE,https://exemple-formation.test/opportunite/1660,
  Bourse Agritech ,Erasmus Mundus,RWANDA,15-01-2027,Post-doc,1 200 €,EN COURS,https://exemple-formation.test/opportunite/5596,
Fellowship Cybersécurité,OCP Group,rwanda,18-10-2026,Post-doc,-,EN COURS,https://exemple-formation.test/opportunite/6313,
Appel à candidatures Économie circulaire,Commission Européenne,Canada,2027-01-16,Doctorat,500 $,à faire,https://exemple-formation.test/opportunite/2085,
Résidence Éducation numérique,GIZ,SENEGAL,2026-09-21,Post-doc,"1200,00 EUR",archivee,https://exemple-formation.test/opportunite/9031,
SUBVENTION ÉNERGIES RENOUVELABLES,  Banque Mondiale ,benin,,Licence,3 000 €,en_cours,https://exemple-formation.test/opportunite/6767,
HACKATHON FINTECH,  OCP Group ,Côte d'Ivoire,,Doctorat,EUR1200,a faire,https://exemple-formation.test/opportunite/3626,
Subvention Entrepreneuriat social,Institut Pasteur,FRANCE,12-07-2026,Doctorat,EUR500,a_faire,https://exemple-formation.test/opportunite/6134,
Fellowship Cybersécurité,PNUD,maroc,2026-10-25,Doctorat,500 €,à faire,https://exemple-formation.test/opportunite/9036,
Fellowship Agritech,Université Paris Cité,france,01-02-2027,Post-doc,EUR1200,à faire,https://exemple-formation.test/opportunite/2865,
Appel à candidatures Robotique,Commission Européenne,allemagne,25/11/2026,Post-doc,12 000 MAD,archivée,https://exemple-formation.test/opportunite/5948,
  Formation Économie circulaire ,Banque Islamique de Développement,canada,10-01-2027,Doctorat,8 000 MAD,archivée,https://exemple-formation.test/opportunite/8025,
Appel à candidatures Climat,  Campus France ,Allemagne,02/08/2026,Post-doc,USD8000,en cours,https://exemple-formation.test/opportunite/1857,
Appel à candidatures Énergies renouvelables,Agence Française de Développement,cameroun,2026-10-04,Licence,5000 $,a faire,https://exemple-formation.test/opportunite/7671,
Appel à candidatures Santé publique,Banque Mondiale,senegal,2026-07-21,Licence,non précisé,à faire,https://exemple-formation.test/opportunite/9798,
Résidence Intelligence artificielle,Banque Mondiale,Bénin,2027-01-02,Tous niveaux,USD8000,,https://exemple-formation.test/opportunite/2325,
concours fintech,Commission Européenne,Canada,2026-07-26,Post-doc,,en cours,https://exemple-formation.test/opportunite/5301,
bourse data science,  Banque Mondiale ,cameroun,2026-07-12,Doctorat,€3000,archivee,https://exemple-formation.test/opportunite/9065,
Fellowship Biotechnologies,African Development Bank,MAROC,02/11/2026,Tous niveaux,5 000 MAD,à faire,https://exemple-formation.test/opportunite/6612,
Appel à candidatures Énergies renouvelables,Orange Digital Center, Cameroun ,23-01-2027,Licence,3 000 €,en_cours,https://exemple-formation.test/opportunite/5906,
Fellowship Agritech,Université Paris Cité,france,01-02-2027,Post-doc,EUR1200,à faire,https://exemple-formation.test/opportunite/2865,
Subvention Énergies renouvelables,Institut Pasteur,Maroc,N/A,Post-doc,1500 €,en_cours,https://exemple-formation.test/opportunite/1534,
Résidence Santé publique,  Banque Islamique de Développement ,rwanda,2026-08-24,Doctorat,8 000 €,à faire,https://exemple-formation.test/opportunite/3584,
subvention mobilité urbaine,Erasmus Mundus, Sénégal ,31-10-2026,Post-doc,-,ENVOYEE,https://exemple-formation.test/opportunite/8920,
Concours Biotechnologies,  Agence Française de Développement , Maroc ,06/08/2026,Licence,1200 €,en cours,https://exemple-formation.test/opportunite/5350,
Fellowship Énergies renouvelables,CNRS,cameroun,11-10-2026,Licence,€500,archivée,https://exemple-formation.test/opportunite/5214,
Fellowship Énergies renouvelables,Banque Mondiale,tunisie,15/07/2026,Tous niveaux,EUR1500,A_FAIRE,https://exemple-formation.test/opportunite/4331,
Bourse Intelligence artificielle,Union Africaine,Tunisie,02/12/2026,Tous niveaux,non précisé,A_FAIRE,https://exemple-formation.test/opportunite/1189,
Bourse Mobilité urbaine,Union Africaine,allemagne,19/12/2026,Post-doc,"25000,00 USD",en_cours,https://exemple-formation.test/opportunite/5110,
  Fellowship Climat ,  UNESCO ,Allemagne,19-01-2027,Licence,1 500 €,a_faire,https://exemple-formation.test/opportunite/1289,
  Concours Biotechnologies ,INSTITUT PASTEUR,SENEGAL,2026-10-19,Tous niveaux,1500 USD,a_faire,https://exemple-formation.test/opportunite/6912,
hackathon robotique,Erasmus Mundus,Tunisie,,Licence,1200 EUR,a_faire,https://exemple-formation.test/opportunite/7213,
Bourse Entrepreneuriat social,Fondation Mastercard,FRANCE,2026-11-14,Post-doc,USD12000,A_FAIRE,https://exemple-formation.test/opportunite/5378,
Appel à candidatures Data science,  Université Paris Cité ,France,24-10-2026,Master,"12000,00 €",a faire,https://exemple-formation.test/opportunite/8957,
CONCOURS ROBOTIQUE,UNESCO,senegal,16-07-2026,Doctorat,3 000 $,en_cours,https://exemple-formation.test/opportunite/3172,
  Formation Entrepreneuriat social ,Commission Européenne,Rwanda,,Post-doc,,en_cours,https://exemple-formation.test/opportunite/9605,
Hackathon Fintech,Institut Pasteur,france,22-01-2027,Master,1500 $,a faire,https://exemple-formation.test/opportunite/9002,
  Hackathon Agritech ,Erasmus Mundus,SENEGAL,2026-09-18,Doctorat,€3000,envoyee,https://exemple-formation.test/opportunite/8200,
  Fellowship Climat ,  UNESCO ,Allemagne,19-01-2027,Licence,1 500 €,a_faire,https://exemple-formation.test/opportunite/1289,
Résidence Data science,BANQUE ISLAMIQUE DE DÉVELOPPEMENT, France,12/09/2026,Doctorat,3 000 $,en_cours,https://exemple-formation.test/opportunite/7272,
Résidence Fintech,Commission Européenne, Cameroun ,09/11/2026,Tous niveaux,12000 €,envoyee,https://exemple-formation.test/opportunite/9527,
Appel à candidatures Énergies renouvelables,GIZ,cote d'ivoire,29-10-2026,Tous niveaux,5 000 $,,https://exemple-formation.test/opportunite/9499,
Fellowship Intelligence artificielle,PNUD,Rwanda,2026-09-21,Licence,"500,00 €",ENVOYEE,https://exemple-formation.test/opportunite/2693,
Hackathon Intelligence artificielle,Campus France, Sénégal ,17/11/2026,Post-doc,"25000,00 €",archivée,https://exemple-formation.test/opportunite/1592,
Programme Énergies renouvelables,PNUD,Bénin,2026-12-09,Doctorat,12 000 USD,EN COURS,https://exemple-formation.test/opportunite/3822,
stage robotique,orange digital center,canada,27-11-2026,Master,25000 EUR,envoyée,https://exemple-formation.test/opportunite/5491,
Résidence Génie logiciel,Université Paris Cité,allemagne,28/12/2026,Tous niveaux,1200 $,a faire,https://exemple-formation.test/opportunite/4458,
Programme Biotechnologies,  GIZ , TUNISIE ,2026-11-04,Post-doc,-,A_FAIRE,https://exemple-formation.test/opportunite/7970,
  Fellowship Mobilité urbaine ,UNESCO,CANADA ,bientôt,Licence,"3000,00 €",A_FAIRE,https://exemple-formation.test/opportunite/2718,
Bourse Climat,CAMPUS FRANCE,tunisie,2026-09-27,Doctorat,-,a faire,https://exemple-formation.test/opportunite/1154,
Programme Intelligence artificielle,Erasmus Mundus,COTE D IVOIRE,27-09-2026,Post-doc,EUR25000,en_cours,https://exemple-formation.test/opportunite/8830,
Appel à candidatures Cybersécurité,GIZ,cameroun,02/11/2026,Master,MAD1500,,https://exemple-formation.test/opportunite/8995,
Concours Intelligence artificielle,African Development Bank,rwanda,06/10/2026,Doctorat,-,a_faire,https://exemple-formation.test/opportunite/8831,
stage robotique,orange digital center,canada,27-11-2026,Master,12000 USD,a_faire,https://exemple-formation.test/opportunite/5491,
Fellowship Mobilité urbaine,  Université Paris Cité ,Tunisie,25/10/2026,Doctorat,"25000,00 $",envoyée,https://exemple-formation.test/opportunite/7156,
Stage Fintech,COMMISSION EUROPÉENNE,Sénégal,21/10/2026,Licence,USD8000,archivée,https://exemple-formation.test/opportunite/6877,
  Formation Mobilité urbaine ,African Development Bank,Allemagne,2026-07-26,Master,"1200,00 MAD",envoyée,https://exemple-formation.test/opportunite/5064,
Concours Éducation numérique,Agence Française de Développement, France,26/01/2027,Doctorat,1500 €,archivée,https://exemple-formation.test/opportunite/5883,
Hackathon Intelligence artificielle,GIZ, Cameroun ,2026-07-13,Licence,$1200,en cours,https://exemple-formation.test/opportunite/8425,
Formation Intelligence artificielle,CNRS,senegal,13-07-2026,Doctorat,25 000 $,archivée,https://exemple-formation.test/opportunite/7215,
Résidence Robotique,Fondation Mastercard,Tunisie,07/12/2026,Tous niveaux,1 200 EUR,envoyée,https://exemple-formation.test/opportunite/6132,
Formation Cybersécurité,UNESCO,RWANDA,,Doctorat,1500 €,envoyée,https://exemple-formation.test/opportunite/1032,
  Fellowship Data science ,Campus France,Rwanda,19/12/2026,Doctorat,non précisé,en_cours,https://exemple-formation.test/opportunite/2078,
Subvention Cybersécurité,  Agence Française de Développement ,SENEGAL,2026-08-03,Licence,N/A,a faire,https://exemple-formation.test/opportunite/9907,
  Fellowship Data science ,Campus France,Rwanda,19/12/2026,Doctorat,non précisé,en_cours,https://exemple-formation.test/opportunite/2078,
Bourse Biotechnologies,Orange Digital Center,BENIN,2026-07-29,Tous niveaux,"1500,00 EUR",EN COURS,https://exemple-formation.test/opportunite/4078,
Stage Intelligence artificielle,Commission Européenne,senegal,2026-11-06,Master,EUR8000,A_FAIRE,https://exemple-formation.test/opportunite/3272,
Bourse Santé publique,Banque Islamique de Développement,canada,19/01/2027,Master,USD3000,EN COURS,https://exemple-formation.test/opportunite/7913,
Bourse Éducation numérique,CNRS, Cameroun ,22/12/2026,Post-doc,5 000 MAD,à faire,https://exemple-formation.test/opportunite/7750,
  Concours Santé publique ,Commission Européenne,allemagne,2026-08-06,Licence,€8000,archivee,https://exemple-formation.test/opportunite/2356,
Fellowship Agritech,Banque Mondiale,France,2026-10-21,Master,,en_cours,https://exemple-formation.test/opportunite/9298,
Résidence Fintech,Union Africaine,COTE D IVOIRE,28/07/2026,Tous niveaux,USD3000,envoyee,https://exemple-formation.test/opportunite/5742,
Stage Fintech,Campus France,Canada,04-12-2026,Licence,EUR1200,EN COURS,https://exemple-formation.test/opportunite/3255,
Résidence Data science,GIZ,SENEGAL,25-11-2026,Tous niveaux,€500,en_cours,https://exemple-formation.test/opportunite/7306,
  Concours Cybersécurité ,Université Paris Cité,Côte d'Ivoire,26-07-2026,Licence,12000 €,a_faire,https://exemple-formation.test/opportunite/2153,
Subvention Climat,Banque Mondiale,MAROC,2026-08-08,Post-doc,,EN COURS,https://exemple-formation.test/opportunite/8996,
concours climat,GIZ,allemagne,04-11-2026,Tous niveaux,3 000 EUR,A_FAIRE,https://exemple-formation.test/opportunite/6798,
Fellowship Économie circulaire,PNUD, France,01-01-2027,Tous niveaux,-,EN COURS,https://exemple-formation.test/opportunite/4532,
Formation Éducation numérique,Banque Islamique de Développement,Bénin,2026-09-19,Post-doc,1500 €,à faire,https://exemple-formation.test/opportunite/7066,
Fellowship Santé publique,Banque Mondiale,FRANCE,2026-11-08,Master,$12000,envoyee,https://exemple-formation.test/opportunite/9225,
  Formation Santé publique ,Fondation Mastercard,cameroun,04-10-2026,Licence,12 000 MAD,archivée,https://exemple-formation.test/opportunite/3368,
  Stage Économie circulaire ,Agence Française de Développement,Tunisie,2027-01-31,Master,5000 EUR,à faire,https://exemple-formation.test/opportunite/9510,
Résidence Entrepreneuriat social,Erasmus Mundus,RWANDA,,Doctorat,,en cours,https://exemple-formation.test/opportunite/2505,
Subvention Data science,PNUD,france,10/12/2026,Tous niveaux,1 200 USD,archivée,https://exemple-formation.test/opportunite/4174,
Subvention Cybersécurité,UNESCO,Tunisie,2026-07-31,Licence,"3000,00 USD",EN COURS,https://exemple-formation.test/opportunite/6628,
Stage Génie logiciel,CNRS,canada,2027-01-22,Post-doc,3000 EUR,ENVOYEE,https://exemple-formation.test/opportunite/5837,
Subvention Génie logiciel,Agence Française de Développement, TUNISIE ,,Licence,USD1500,a faire,https://exemple-formation.test/opportunite/8724,
Formation Mobilité urbaine,African Development Bank, TUNISIE ,03/01/2027,Doctorat,"1200,00 USD",,https://exemple-formation.test/opportunite/9440,
Stage Génie logiciel,unesco,CANADA ,2027-01-13,Post-doc,non précisé,a faire,https://exemple-formation.test/opportunite/4025,
Fellowship Biotechnologies,Erasmus Mundus,maroc,22-12-2026,Licence,N/A,,https://exemple-formation.test/opportunite/9468,
